TransactionAmount,TransactionDate,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Location_encoded,Channel_encoded,TransactionType_encoded,CustomerOccupation_encoded,TimeBetweenTransaction,TransactionHour,LoginAttempts_Binned,TransactionAmount_Binned,KMeans_Cluster,Anomaly,DBSCAN_Cluster,Cluster,Cluster_PCA,dbscan_outlier,DistanceToCentroid,PotentialFraud,Target
14.09,2023-04-11 16:29:14,70,81,1,5112.21,2024-11-04 08:08:08,36,0,1,0,-49477134.0,16,Normal,< $50,1,1,0,0,2,0,2.0000644579840725,False,0
376.24,2023-06-27 16:44:19,68,141,1,13758.91,2024-11-04 08:09:35,15,0,1,0,-42823516.0,16,Normal,$200–$500,0,1,-1,2,0,-1,4.638240440357261,False,2
126.29,2023-07-10 18:16:08,19,56,1,1122.35,2024-11-04 08:07:04,23,2,1,3,-41694656.0,18,Normal,$50–$200,0,1,-1,2,0,-1,3.971809697099448,False,2
184.5,2023-05-05 16:32:11,26,25,1,8569.06,2024-11-04 08:09:06,33,2,1,3,-47403415.0,16,Normal,$50–$200,1,1,-1,0,2,-1,1.6725393811729625,False,0
13.45,2023-10-16 17:51:24,26,198,1,7429.4,2024-11-04 08:06:39,1,2,0,3,-33228915.0,17,Normal,< $50,2,1,-1,1,1,-1,5.157107965477142,False,1
92.15,2023-04-03 17:15:01,18,172,1,781.68,2024-11-04 08:06:36,28,0,1,3,-50165495.0,17,Normal,$50–$200,0,1,-1,0,0,-1,6.472263628374393,False,0
7.08,2023-02-15 16:36:48,37,139,1,13316.71,2024-11-04 08:10:09,39,0,0,0,-54228801.0,16,Normal,< $50,1,1,-1,0,2,-1,4.993132784485789,False,0
171.42,2023-05-08 17:47:59,67,291,1,2796.24,2024-11-04 08:10:55,16,1,0,2,-47139776.0,17,Normal,$50–$200,0,1,-1,2,0,-1,3.4435569036888327,False,2
106.23,2023-03-21 16:59:46,51,86,1,9095.14,2024-11-04 08:11:14,11,1,0,1,-51289888.0,16,Normal,$50–$200,2,1,-1,1,1,-1,5.118198820684012,False,1
815.96,2023-03-31 16:06:57,55,120,1,1021.88,2024-11-04 08:06:32,26,0,1,0,-50428775.0,16,Normal,$500–$1K,0,1,-1,2,0,-1,6.892231258243039,False,2
17.78,2023-03-14 16:46:10,52,59,1,7599.52,2024-11-04 08:06:45,0,2,0,1,-51895235.0,16,Normal,< $50,2,1,-1,1,1,-1,6.171290218765042,False,1
190.02,2023-02-06 17:30:00,21,173,1,1528.81,2024-11-04 08:07:12,22,2,1,3,-55003032.0,17,Normal,$50–$200,0,1,-1,2,0,-1,2.8483175372036933,False,2
494.52,2023-06-07 17:21:28,24,111,1,1620.02,2024-11-04 08:08:38,23,1,0,3,-44549230.0,17,Normal,$200–$500,0,1,-1,2,0,-1,3.746754038018328,False,2
781.76,2023-11-20 16:39:15,26,123,1,189.69,2024-11-04 08:07:06,22,0,1,3,-30209271.0,16,Normal,$500–$1K,0,1,-1,2,0,-1,3.264127651532379,False,2
166.99,2023-02-13 16:53:57,18,134,1,299.93,2024-11-04 08:10:09,21,2,1,3,-54400572.0,16,Normal,$50–$200,0,1,-1,2,0,-1,2.078868190298925,False,2
465.45,2023-12-12 16:23:31,36,129,1,3465.54,2024-11-04 08:12:19,10,0,1,1,-28309728.0,16,Normal,$200–$500,2,1,-1,1,1,-1,4.152099139769966,False,1
555.8,2023-10-30 16:52:49,19,158,1,1131.26,2024-11-04 08:07:35,2,1,0,3,-32022886.0,16,Normal,$500–$1K,2,1,-1,1,1,-1,4.256942092564877,False,1
492.93,2023-12-14 18:32:14,39,234,1,5109.97,2024-11-04 08:11:51,8,2,1,1,-28129177.0,18,Normal,$200–$500,2,1,-1,1,1,-1,2.593819939075969,False,1
18.68,2023-02-21 16:56:50,59,106,1,7948.37,2024-11-04 08:12:01,0,1,0,2,-53709311.0,16,Normal,< $50,2,1,-1,1,1,-1,6.187107815472001,False,1
71.48,2023-06-08 18:18:50,18,169,1,6568.59,2024-11-04 08:09:20,8,2,0,3,-44459430.0,18,Normal,$50–$200,2,1,-1,1,1,-1,2.4855603362163223,False,1
