TransactionAmount,tTimeBetweenTransaction,TransactionDuration,AccountBalance,TransactionType_encoded,CustomerOccupation_encoded,TransactionType,CustomerOccupation,Cluster
5112.21,14.090000000000003,16.0,-49477134.0,1,0,Engineer,Doctor,KMeans(n_clusters=3)
13758.91,376.24,16.0,-42823516.0,1,0,Engineer,Doctor,
1122.35,126.28999999999999,18.0,-41694656.0,1,3,Engineer,Student,
8569.06,184.5,16.0,-47403415.0,1,3,Engineer,Student,
7429.4,13.449999999999989,17.0,-33228915.0,0,3,Doctor,Student,
781.6799999999998,92.15,17.0,-50165495.0,1,3,Engineer,Student,
13316.71,7.079999999999984,16.0,-54228801.0,0,0,Doctor,Doctor,
2796.24,171.42,17.0,-47139776.0,0,2,Doctor,Retired,
9095.14,106.23,16.0,-51289888.0,0,1,Doctor,Engineer,
1021.8800000000006,815.96,16.0,-50428775.0,1,0,Engineer,Doctor,
7599.52,17.78,16.0,-51895235.0,0,1,Doctor,Engineer,
1528.81,190.02,17.0,-55003032.0,1,3,Engineer,Student,
1620.02,494.52,17.0,-44549230.0,0,3,Doctor,Student,
189.6899999999996,781.76,16.0,-30209271.0,1,3,Engineer,Student,
299.9300000000003,166.99,16.0,-54400572.0,1,3,Engineer,Student,
3465.54,465.45,16.0,-28309728.0,1,1,Engineer,Engineer,
1131.2600000000002,555.8,16.0,-32022886.0,0,3,Doctor,Student,
5109.97,492.93,18.0,-28129177.0,1,1,Engineer,Engineer,
7948.37,18.680000000000007,16.0,-53709311.0,0,2,Doctor,Retired,
6568.59,71.48000000000002,18.0,-44459430.0,0,3,Doctor,Student,
5750.89,59.31999999999999,16.0,-53105546.0,1,2,Engineer,Retired,
9146.19,85.77,18.0,-38929002.0,1,0,Engineer,Doctor,
8974.93,52.19999999999999,18.0,-44629966.0,1,1,Engineer,Engineer,
1402.5000000000005,345.84,18.0,-47655678.0,1,3,Engineer,Student,
1930.96,145.54,16.0,-52932193.0,1,3,Engineer,Student,
3634.67,7.489999999999981,17.0,-32883391.0,0,2,Doctor,Retired,
673.3499999999995,246.93,16.0,-48958477.0,1,3,Engineer,Student,
2686.52,40.32000000000002,16.0,-50599761.0,1,1,Engineer,Engineer,
1772.06,127.45,16.0,-56130770.0,1,0,Engineer,Doctor,
1351.69,56.170000000000016,16.0,-35478768.0,1,3,Engineer,Student,
8334.47,28.310000000000002,17.0,-41091595.0,0,0,Doctor,Doctor,
9823.64,59.120000000000005,16.0,-55006954.0,1,0,Engineer,Doctor,
9690.15,396.45,16.0,-35048713.0,1,1,Engineer,Engineer,
399.0,877.8100000000001,17.0,-51979466.0,1,3,Engineer,Student,
14815.87,255.26,16.0,-32282882.0,0,0,Doctor,Doctor,
5764.72,124.76,16.0,-33233607.0,1,1,Engineer,Engineer,
900.6100000000001,78.13,16.0,-30122014.0,1,3,Engineer,Student,
4875.86,649.28,17.0,-52928263.0,1,2,Engineer,Retired,
7914.88,795.31,17.0,-33577417.0,1,0,Engineer,Doctor,
1019.3899999999999,335.63,17.0,-56127012.0,1,2,Engineer,Retired,
4323.66,328.47,18.0,-39878861.0,1,2,Engineer,Retired,
14214.48,34.02000000000001,16.0,-57427104.0,1,0,Engineer,Doctor,
13357.02,241.42,18.0,-48690680.0,0,0,Doctor,Doctor,
241.78999999999996,55.31999999999999,16.0,-49392266.0,1,3,Engineer,Student,
868.6099999999997,304.31,16.0,-40317445.0,1,3,Engineer,Student,
4673.28,435.27,17.0,-34266103.0,1,2,Engineer,Retired,
1509.27,164.49,16.0,-28224535.0,1,3,Engineer,Student,
781.7000000000003,510.24,16.0,-33838915.0,1,3,Engineer,Student,
265.5100000000002,626.9,16.0,-29604087.0,1,3,Engineer,Student,
1335.0900000000001,22.00999999999999,16.0,-50772073.0,0,1,Doctor,Engineer,
3907.54,425.34,16.0,-54400048.0,0,2,Doctor,Retired,
5183.85,424.55999999999995,17.0,-53706187.0,1,1,Engineer,Engineer,
14904.9,85.43,16.0,-44551271.0,1,0,Engineer,Doctor,
918.8800000000001,169.5,16.0,-36602251.0,1,3,Engineer,Student,
4477.78,104.63,17.0,-50595806.0,1,2,Engineer,Retired,
1324.0299999999997,316.95,17.0,-39536135.0,1,3,Engineer,Student,
3534.93,60.53999999999999,17.0,-28131440.0,0,2,Doctor,Retired,
